4793	4902
4926	2798
20332	3350
868	127069
49911	97655
22	119198
3011	7207
13052	1786
105935	2964
119198	104000
68865	178164
4902	18309
4447	26317
4902	158020
178164	4929
842	7207
3011	1759
27562	8917
7202	3490
29353	128574
37571	37922
32663	109821
30521	57142
173616	105935
34722	34716
10697	21176
574	1201
4929	153570
35903	35904
3372	32174
1274	158643
49383	1500
35354	2798
5862	21563
36354	12604
842	32212
43395	157259
129064	1274
22	73272
578	2964
578	2631
1546	4929
3401	578
178164	34311
2798	3138
22	114288
1201	3372
15970	127069
52658	9395
991	1759
1810	4952
117025	24962
24975	3480
4517	1174
24672	12333
3463	658
1201	4850
73397	34157
4848	23681
185595	194967
24951	1201
27720	49383
53733	19647
4447	24645
83208	5616
4902	72976
842	4838
4929	155016
513	28817
4929	1201
72962	36350
33877	31486
4593	17793
23665	842
32876	111
4858	457
8666	1940
22	20332
590	36579
2964	887
887	4447
17426	3480
13052	2972
96721	11783
1201	71829
24684	868
842	24474
74222	1201
52949	4929
527	1274
28775	3711
15594	4991
1201	2964
2704	38706
24357	3401
2439	4902
457	1479
5247	4902
4929	10794
36017	842
3236	1400
123376	123377
23112	127991
33445	4902
18054	2883
1201	4679
1274	7838
14745	71148
145752	22
4952	991
1479	57705
3698	122392
22	96782
123376	71469
4944	4985
27250	49911
2964	179306
11577	4929
3372	4817
4938	4560
2798	28386
37371	22
1263	33590
35777	65230
1969	8917
22723	114243
49383	3698
71140	1810
1274	34369
59178	24966
11991	49383
49988	4922
4850	23112
8666	842
19577	109059
4604	578
33817	136402
1541	71193
111	39107
73653	128116
159558	146153
578	32700
111	22
109821	3011
3529	6155
81209	1479
3480	601
38706	131377
4985	38706
104357	42838
35050	22
2964	49988
37371	2964
6156	124863
15584	457
4902	718
9395	4604
1969	47876
4929	175082
104357	49911
52943	4985
16581	63060
28817	11626
11351	117050
5631	12433
4435	3401
33474	2241
12560	4952
3480	23681
3372	1940
1546	20356
24953	2964
24980	19647
14970	2964
28370	55616
457	121996
35527	32429
18309	4902
4929	72962
73653	29400
4985	55585
4972	10433
49988	4938
4985	38878
17517	34270
19298	2798
43513	43501
71148	14745
74080	4938
114636	28817
190169	106329
3529	41620
116480	4534
37830	122439
72962	4929
1274	155120
59178	105935
4161	2798
4943	125327
39701	3711
682	4902
28370	33086
24968	4902
4944	32763
4435	27720
117025	2500
105935	4435
4359	33081
457	4985
2882	104000
33423	27543
3058	4593
6155	6156
9024	2242
128772	70292
457	71202
