82885	4929
71244	33185
3480	114468
1546	2197
27720	27376
4913	49383
66163	132723
6798	1201
32103	3401
12985	22
106329	3711
24980	59177
36336	4902
868	127069
7414	4913
997	71244
54099	11991
28817	47502
22	119198
4902	72976
13052	1786
119198	11227
105935	2964
119198	104000
16377	15657
27889	3480
68865	178164
4902	18309
189147	49383
868	19298
28817	1594
4447	26317
111	513
111	117011
178164	4929
842	7207
842	7202
2798	12146
3698	4985
112882	52658
27562	8917
7202	3490
24938	1479
4902	109639
29353	128574
37571	37922
16428	38708
3708	4985
32663	109821
49397	27543
30521	57142
173616	105935
29353	3480
72962	4929
43855	4985
10697	21176
1500	96782
3236	12333
574	1201
19402	12624
3480	4913
1783	4902
4929	153570
1201	73274
4985	54513
59179	91182
6155	24684
28372	22
42742	3165
1810	12719
71322	4850
5018	35212
4600	22
154246	38992
29886	14851
1274	158643
6379	5131
49383	1500
35354	2798
36350	2798
5862	21563
36354	12604
842	32212
49383	49387
991	35138
43395	157259
526	22
129064	1274
22	73272
578	2964
4985	176526
7334	4902
4991	2439
29935	12876
578	2631
1546	4929
3401	578
178164	34311
2798	3138
22	114288
1201	3372
1546	4920
15970	127069
52658	9395
125328	157169
991	1759
4605	85561
117025	24962
28817	3490
24975	3480
119034	842
4517	1174
24672	12333
3463	658
1201	4850
4944	3236
1500	2798
39839	49383
73397	34157
4848	23681
111	53706
63060	3401
842	14491
2798	2082
2798	2080
27720	49383
53733	19647
4447	24645
60508	22
125533	4850
83208	5616
18584	31486
19298	71244
4836	29073
5862	1500
3011	7207
842	4838
842	4836
513	28817
4929	1201
49383	6424
2081	111
190526	1940
4576	140328
82425	2964
18303	1274
51352	959
4902	457
4593	17793
23665	842
32876	111
3480	5355
5862	84107
8666	1940
4929	11227
8703	49397
109559	49025
22	20332
2798	3478
111	36273
2964	887
590	56480
17426	3480
13052	2972
96721	11783
111	122586
117138	3480
26317	52943
24684	868
682	4929
91182	76252
991	2105
868	4978
2105	27720
2514	531
842	24474
1527	49383
1174	24963
52949	4929
527	1274
37504	842
3165	1940
28775	3711
22229	842
160200	159663
15594	4991
6155	15094
2704	38706
24357	3401
2439	4902
4929	16903
4368	578
457	1479
5247	4902
60871	32108
185595	63060
4929	10794
3121	28817
146357	842
166504	30527
1400	137430
36017	842
662	3480
44202	2798
2947	4435
531	3480
111	1940
60508	578
20986	578
111	22790
75519	176683
129064	146153
33445	4902
4930	39437
49911	97655
1201	4679
1274	7838
1274	2197
14745	71148
52949	4985
145752	22
27720	5001
1479	57705
578	116480
24951	4985
22	96782
24951	4982
5862	119898
78482	2798
2964	179306
73229	67320
11577	4929
104357	868
25185	153809
4161	29353
49383	4982
4938	4560
4907	607
37371	22
1263	33590
32660	34391
4902	10459
71244	161338
3711	31486
1969	8917
117751	23665
71143	65946
49383	3698
127156	2065
37371	32628
4907	10388
1274	34369
1711	104000
3236	3279
97635	32660
4902	158020
11991	49383
19839	29358
76829	1759
4938	83904
44063	1541
49988	4922
28817	24952
4850	23112
8666	842
4817	2964
1999	111
22	69239
9321	842
22	158998
16428	10492
578	52663
19577	109059
60838	47876
9395	4978
128772	4952
32683	4929
74171	16083
1541	71193
4987	18367
22	3399
128772	11403
73653	128116
159558	146153
71179	4929
2439	4850
578	32700
111	22
5943	111
109821	3011
776	119034
3529	6155
1594	18055
81209	1479
3480	601
4838	1973
3011	1759
178164	4428
3400	2704
38706	131377
91182	4595
4985	38706
104357	42838
578	4937
35050	22
4925	3401
2964	49988
1940	18309
37371	2964
6156	124863
15584	457
4902	868
4902	718
5862	8821
43395	4850
12719	32683
72370	1684
4929	175082
4985	718
52943	4985
17720	842
16581	63060
931	36070
718	3165
106329	1810
32660	32429
41356	718
11351	117050
5631	12433
4435	3401
33474	2241
12560	4952
157169	125328
3401	91182
45165	52943
3372	1940
39727	119198
24953	2964
24980	19647
14970	2964
49383	28494
38878	49383
6155	3529
22	36344
457	121996
35527	32429
4848	43395
145566	4985
32108	109821
3236	4944
22	1388
181688	29353
2798	56480
4817	34211
4929	72962
73653	29400
4039	22
4985	55585
4972	10433
49988	4938
4985	38878
36972	31490
17517	34270
142913	3453
19298	2798
43513	43501
24963	31486
71148	14745
74080	4938
26267	6156
1810	52943
111	3422
114636	28817
24963	7414
71142	28386
1201	32427
49387	4902
1537	8666
111	8703
3529	41620
4850	1174
2433	4985
37830	122439
14851	74228
34722	34716
1274	155120
55585	4435
59178	105935
42497	4929
4161	2798
4943	125327
33807	1594
682	4902
99583	122632
10794	21176
28370	33086
24968	4902
4978	457
16105	842
105935	38992
842	41356
71905	991
4359	33081
117025	12719
4792	91182
2882	104000
1255	842
3058	4593
842	121172
2081	3011
16903	28372
6155	6156
39405	1537
9024	2242
128772	70292
38706	32777
2798	2745
35138	1201
128457	34131
4978	24684
14851	4972
4850	78892
3401	6156
1400	4929
3401	6155
155307	4902
168573	12719
1274	32038
11695	8410
2081	2947
12433	23112
16581	123376
914	32150
931	9395
4572	4985
842	14720
2798	123376
4595	5001
43395	10492
12433	93111
74216	29400
2197	1400
1274	120141
4576	109639
842	73154
122223	4576
189147	2798
2798	6798
36350	842
11321	842
4985	30514
24946	1940
3138	4972
4985	59179
868	49383
6379	2798
14851	32303
868	49387
4902	73154
3711	4985
81308	22137
2798	26267
35903	35904
243	601
154080	109639
109639	31817
49397	49399
2745	29353
4929	49988
91326	26236
2629	578
71524	4985
36336	4985
3698	59178
59178	457
578	24684
90716	3372
4370	29353
3698	22
578	1269
9395	20142
114636	4363
2105	48548
2798	55635
4929	4576
887	4631
163329	3480
109117	39437
39727	4907
7759	1269
33428	304
39405	22
24062	9395
4902	48860
19298	125328
842	33875
2798	31066
18790	112882
22	6424
3236	11321
4907	1940
3011	1810
2514	6798
113087	3401
3372	32174
24684	457
14523	146357
1940	1810
47612	22
106781	174959
56292	842
19755	2439
4985	137370
1274	33746
4447	3236
662	57507
1274	7334
56480	1940
63060	442
1201	4447
1274	36998
6424	457
4580	4585
65230	2798
442	2659
83904	1810
104357	1214
5862	3229
32663	7334
39612	842
1594	4920
1274	4359
2080	1201
4985	6424
4985	3145
33841	4363
3353	24938
5862	4928
105935	71143
24963	1810
842	578
104000	7207
153570	36273
4985	32212
32150	914
21176	10697
24684	18974
1522	10794
991	1201
4985	11613
578	4720
6798	28817
6798	2514
2798	49383
7334	11321
5631	10794
24684	51637
38992	2659
63777	578
125327	125328
119198	122586
226	3236
